Data;ID Sklepu;Nazwa produktu;Kategoria;Zalecana ilość do zamówienia;Pewność predykcji
2026-04-01;PLN-106;Mleko UHT 3.2% 1L;Nabiał i jaja;368 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-106;Kefir 400g;Nabiał i jaja;297 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-106;Jabłka 1kg;Warzywa i owoce;275 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-106;Bagietka;Pieczywo;262 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-106;Banany 1kg;Warzywa i owoce;259 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-106;Marchew 1kg;Warzywa i owoce;252 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-106;Pomidory 1kg;Warzywa i owoce;200 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-106;Twaróg 250g;Nabiał i jaja;153 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-106;Pieczywo razowe 400g;Pieczywo;138 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-106;Chleb pszenny 500g;Pieczywo;110 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Mleko UHT 3.2% 1L;Nabiał i jaja;151 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Kefir 400g;Nabiał i jaja;133 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Jabłka 1kg;Warzywa i owoce;105 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Marchew 1kg;Warzywa i owoce;105 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Banany 1kg;Warzywa i owoce;104 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Bagietka;Pieczywo;99 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Pomidory 1kg;Warzywa i owoce;78 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Twaróg 250g;Nabiał i jaja;66 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Pieczywo razowe 400g;Pieczywo;55 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-115;Chleb pszenny 500g;Pieczywo;49 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Mleko UHT 3.2% 1L;Nabiał i jaja;512 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Kefir 400g;Nabiał i jaja;438 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Bagietka;Pieczywo;385 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Jabłka 1kg;Warzywa i owoce;380 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Banany 1kg;Warzywa i owoce;360 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Marchew 1kg;Warzywa i owoce;359 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Pomidory 1kg;Warzywa i owoce;298 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Twaróg 250g;Nabiał i jaja;215 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Pieczywo razowe 400g;Pieczywo;205 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-118;Chleb pszenny 500g;Pieczywo;158 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Mleko UHT 3.2% 1L;Nabiał i jaja;306 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Kefir 400g;Nabiał i jaja;255 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Jabłka 1kg;Warzywa i owoce;221 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Banany 1kg;Warzywa i owoce;217 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Marchew 1kg;Warzywa i owoce;212 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Bagietka;Pieczywo;212 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Pomidory 1kg;Warzywa i owoce;164 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Twaróg 250g;Nabiał i jaja;124 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Pieczywo razowe 400g;Pieczywo;110 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-124;Chleb pszenny 500g;Pieczywo;98 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Mleko UHT 3.2% 1L;Nabiał i jaja;279 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Kefir 400g;Nabiał i jaja;247 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Jabłka 1kg;Warzywa i owoce;228 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Banany 1kg;Warzywa i owoce;210 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Marchew 1kg;Warzywa i owoce;205 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Bagietka;Pieczywo;205 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Pomidory 1kg;Warzywa i owoce;151 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Twaróg 250g;Nabiał i jaja;118 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Pieczywo razowe 400g;Pieczywo;103 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-132;Chleb pszenny 500g;Pieczywo;85 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Mleko UHT 3.2% 1L;Nabiał i jaja;170 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Kefir 400g;Nabiał i jaja;142 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Jabłka 1kg;Warzywa i owoce;125 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Banany 1kg;Warzywa i owoce;122 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Marchew 1kg;Warzywa i owoce;108 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Bagietka;Pieczywo;106 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Pomidory 1kg;Warzywa i owoce;82 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Twaróg 250g;Nabiał i jaja;71 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Pieczywo razowe 400g;Pieczywo;61 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-136;Chleb pszenny 500g;Pieczywo;51 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
