Data;ID sklepu;Miasto;Kategoria;SKU;Czas trwania (h);Szac. utrata sprzedaży (PLN);Powód
2024-01-11;PLN-027;Kraków;Mięso i wędliny;Jajka L 10szt;0.4;13;Opóźniona dostawa
2024-01-11;PLN-139;Radom;Piwo i alkohol;Banany 1kg;1.4;218;Burst popytowy (event/pogoda)
2024-01-11;PLN-038;Kraków;Piwo i alkohol;Truskawki 500g;2.1;163;Opóźniona dostawa
2024-01-12;PLN-058;Poznań;Sucha żywność / kasze;Jajka L 10szt;9.360000000000001;593;Burst popytowy (event/pogoda)
2024-01-12;PLN-074;Łódź;Warzywa i owoce;Bagietka;1.3;26;Niedoszacowana prognoza popytu
2024-01-12;PLN-017;Warszawa;Mrożonki;Bagietka;2.6;32;Burst popytowy (event/pogoda)
2024-01-13;PLN-075;Łódź;Napoje bezalkoholowe;Pieczywo razowe 400g;0.65;3;Opóźniona dostawa
2024-01-13;PLN-057;Poznań;Piwo i alkohol;Kurczak filet 1kg;8.84;353;Awaria dostawcy
2024-01-13;PLN-114;Kalisz;Sucha żywność / kasze;Pieczywo razowe 400g;8.19;1046;Niedoszacowana prognoza popytu
2024-01-13;PLN-048;Wrocław;Nabiał i jaja;Kurczak filet 1kg;1.56;9;Awaria dostawcy
2024-01-13;PLN-017;Warszawa;Non-food / dom;Pomidory 1kg;0.39;4;Opóźniona dostawa
2024-01-15;PLN-119;Gniezno;Piwo i alkohol;Wieprzowina karkówka 1kg;0.3;7;Opóźniona dostawa
2024-01-15;PLN-046;Wrocław;Sucha żywność / kasze;Mleko UHT 3.2% 1L;1.0;69;Błąd kierownika sklepu
2024-01-15;PLN-125;Tarnów;Warzywa i owoce;Twaróg 250g;3.4;5;Opóźniona dostawa
2024-01-15;PLN-078;Łódź;Chemia i higiena;Wieprzowina karkówka 1kg;0.6;92;Niedoszacowana prognoza popytu
2024-01-15;PLN-019;Warszawa;Chemia i higiena;Pomidory 1kg;26.0;847;Niedoszacowana prognoza popytu
2024-01-15;PLN-058;Poznań;Ryby i mrożonki;Polędwica wołowa;3.9;263;Burst popytowy (event/pogoda)
2024-01-15;PLN-024;Warszawa;Dziecko;Wieprzowina karkówka 1kg;3.4;99;Niedoszacowana prognoza popytu
2024-01-15;PLN-103;Toruń;Ryby i mrożonki;Pomidory 1kg;1.9;4;Niedoszacowana prognoza popytu
2024-01-15;PLN-099;Szczecin;Warzywa i owoce;Sok pomarańcz. 1L;1.6;9;Niedoszacowana prognoza popytu
2024-01-16;PLN-049;Wrocław;Warzywa i owoce;Pieczywo razowe 400g;5.3;413;Awaria dostawcy
2024-01-16;PLN-079;Łódź;Non-food / dom;Mleko UHT 3.2% 1L;4.9;27;Niedoszacowana prognoza popytu
2024-01-16;PLN-029;Kraków;Warzywa i owoce;Jabłka 1kg;2.8;3;Opóźniona dostawa
2024-01-17;PLN-090;Lublin;Ryby i mrożonki;Jajka L 10szt;3.2;390;Opóźniona dostawa
2024-01-17;PLN-065;Poznań;Mięso i wędliny;Kefir 400g;4.3;175;Niedoszacowana prognoza popytu
2024-01-17;PLN-119;Gniezno;Warzywa i owoce;Pomidory 1kg;0.7;41;Opóźniona dostawa
2024-01-17;PLN-057;Poznań;Mrożonki;Pomidory 1kg;2.9;11;Niedoszacowana prognoza popytu
2024-01-17;PLN-133;Legnica;Karma i akcesoria zwierzęce;Sok pomarańcz. 1L;5.4;1185;Brak na centralnym magazynie
2024-01-17;PLN-003;Warszawa;Piwo i alkohol;Banany 1kg;0.4;20;Burst popytowy (event/pogoda)
2024-01-17;PLN-128;Nowy Sącz;Mrożonki;Pieczywo razowe 400g;0.3;20;Awaria dostawcy
2024-01-17;PLN-044;Wrocław;Chemia i higiena;Jabłka 1kg;1.5;9;Błąd kierownika sklepu
2024-01-18;PLN-101;Katowice;Mięso i wędliny;Polędwica wołowa;0.5;28;Niedoszacowana prognoza popytu
2024-01-18;PLN-133;Legnica;Ryby i mrożonki;Kefir 400g;2.2;104;Burst popytowy (event/pogoda)
2024-01-18;PLN-047;Wrocław;Piwo i alkohol;Masło 200g;0.8;7;Opóźniona dostawa
2024-01-18;PLN-134;Wałbrzych;Mrożonki;Truskawki 500g;2.8;79;Opóźniona dostawa
2024-01-18;PLN-113;Kalisz;Chemia i higiena;Mleko UHT 3.2% 1L;1.3;77;Burst popytowy (event/pogoda)
2024-01-18;PLN-042;Wrocław;Napoje bezalkoholowe;Pomidory 1kg;0.7;29;Opóźniona dostawa
2024-01-18;PLN-124;Leszno;Non-food / dom;Masło 200g;0.9;37;Opóźniona dostawa
2024-01-19;PLN-020;Warszawa;Non-food / dom;Jajka L 10szt;0.39;26;Opóźniona dostawa
2024-01-19;PLN-025;Kraków;Sucha żywność / kasze;Sok pomarańcz. 1L;6.760000000000001;1;Niedoszacowana prognoza popytu
2024-01-19;PLN-071;Poznań;Słodycze i przekąski;Mleko UHT 3.2% 1L;0.52;23;Brak na centralnym magazynie
2024-01-19;PLN-112;Kalisz;Piwo i alkohol;Banany 1kg;1.04;26;Burst popytowy (event/pogoda)
2024-01-19;PLN-034;Kraków;Lody i desery;Masło 200g;0.65;5;Niedoszacowana prognoza popytu
2024-01-19;PLN-116;Płock;Karma i akcesoria zwierzęce;Kurczak filet 1kg;11.18;628;Burst popytowy (event/pogoda)
2024-01-20;PLN-009;Warszawa;Warzywa i owoce;Jabłka 1kg;0.52;5;Błąd kierownika sklepu
2024-01-20;PLN-024;Warszawa;Mięso i wędliny;Sok pomarańcz. 1L;6.11;329;Burst popytowy (event/pogoda)
2024-01-20;PLN-131;Legnica;Piwo i alkohol;Masło 200g;1.56;17;Opóźniona dostawa
2024-01-20;PLN-136;Jelenia Góra;Non-food / dom;Bagietka;2.6;234;Opóźniona dostawa
2024-01-20;PLN-137;Jelenia Góra;Piwo i alkohol;Sok pomarańcz. 1L;2.73;77;Opóźniona dostawa
2024-01-22;PLN-114;Kalisz;Słodycze i przekąski;Polędwica wołowa;1.6;194;Awaria dostawcy
2024-01-22;PLN-061;Poznań;Nabiał i jaja;Jabłka 1kg;0.8;46;Niedoszacowana prognoza popytu
2024-01-22;PLN-111;Kalisz;Sucha żywność / kasze;Mleko UHT 3.2% 1L;3.8;285;Niedoszacowana prognoza popytu
2024-01-22;PLN-123;Leszno;Chemia i higiena;Polędwica wołowa;1.9;17;Awaria dostawcy
2024-01-22;PLN-031;Kraków;Lody i desery;Jajka L 10szt;2.2;23;Awaria dostawcy
2024-01-22;PLN-100;Katowice;Non-food / dom;Truskawki 500g;1.1;6;Opóźniona dostawa
2024-01-22;PLN-087;Gdańsk;Pieczywo;Truskawki 500g;10.9;164;Niedoszacowana prognoza popytu
2024-01-22;PLN-086;Gdańsk;Sucha żywność / kasze;Masło 200g;5.8;48;Opóźniona dostawa
2024-01-22;PLN-037;Kraków;Mięso i wędliny;Masło 200g;4.3;107;Niedoszacowana prognoza popytu
2024-01-23;PLN-064;Poznań;Piwo i alkohol;Bagietka;0.4;16;Brak na centralnym magazynie
2024-01-23;PLN-124;Leszno;Nabiał i jaja;Wieprzowina karkówka 1kg;3.0;181;Burst popytowy (event/pogoda)
2024-01-24;PLN-018;Warszawa;Pieczywo;Pieczywo razowe 400g;0.7;76;Opóźniona dostawa
2024-01-24;PLN-016;Warszawa;Non-food / dom;Polędwica wołowa;4.6;218;Opóźniona dostawa
2024-01-24;PLN-065;Poznań;Słodycze i przekąski;Pomidory 1kg;8.8;861;Opóźniona dostawa
2024-01-24;PLN-030;Kraków;Nabiał i jaja;Wieprzowina karkówka 1kg;0.3;52;Niedoszacowana prognoza popytu
2024-01-25;PLN-016;Warszawa;Mrożonki;Jajka L 10szt;6.9;452;Burst popytowy (event/pogoda)
2024-01-25;PLN-042;Wrocław;Pieczywo;Kefir 400g;0.3;5;Błąd kierownika sklepu
2024-01-25;PLN-014;Warszawa;Napoje bezalkoholowe;Polędwica wołowa;1.4;14;Brak na centralnym magazynie
2024-01-26;PLN-016;Warszawa;Lody i desery;Łosoś świeży 200g;5.07;39;Awaria dostawcy
2024-01-26;PLN-030;Kraków;Piwo i alkohol;Jabłka 1kg;0.65;6;Niedoszacowana prognoza popytu
2024-01-27;PLN-061;Poznań;Warzywa i owoce;Twaróg 250g;2.6;117;Opóźniona dostawa
2024-01-27;PLN-029;Kraków;Karma i akcesoria zwierzęce;Polędwica wołowa;3.12;51;Opóźniona dostawa
2024-01-27;PLN-025;Kraków;Non-food / dom;Polędwica wołowa;0.9099999999999999;39;Burst popytowy (event/pogoda)
2024-01-27;PLN-140;Radom;Non-food / dom;Kurczak filet 1kg;3.38;101;Opóźniona dostawa
2024-01-27;PLN-030;Kraków;Sucha żywność / kasze;Jajka L 10szt;6.24;1647;Niedoszacowana prognoza popytu
2024-01-28;PLN-063;Poznań;Pieczywo;Pomidory 1kg;1.5;79;Niedoszacowana prognoza popytu
2024-01-28;PLN-112;Kalisz;Warzywa i owoce;Banany 1kg;5.4;352;Brak na centralnym magazynie
2024-01-28;PLN-002;Warszawa;Napoje bezalkoholowe;Łosoś świeży 200g;11.9;154;Brak na centralnym magazynie
2024-01-28;PLN-130;Nowy Sącz;Mrożonki;Banany 1kg;0.3;18;Opóźniona dostawa
2024-01-28;PLN-100;Katowice;Sucha żywność / kasze;Pieczywo razowe 400g;6.7;232;Brak na centralnym magazynie
2024-01-29;PLN-004;Warszawa;Karma i akcesoria zwierzęce;Sok pomarańcz. 1L;9.5;1304;Opóźniona dostawa
2024-01-29;PLN-057;Poznań;Mięso i wędliny;Kefir 400g;2.1;101;Opóźniona dostawa
2024-01-29;PLN-115;Płock;Pieczywo;Kurczak filet 1kg;1.2;71;Burst popytowy (event/pogoda)
2024-01-29;PLN-010;Warszawa;Dziecko;Banany 1kg;11.9;242;Opóźniona dostawa
2024-01-29;PLN-017;Warszawa;Warzywa i owoce;Bagietka;2.6;34;Opóźniona dostawa
2024-01-29;PLN-127;Tarnów;Karma i akcesoria zwierzęce;Polędwica wołowa;3.6;3;Niedoszacowana prognoza popytu
2024-01-29;PLN-081;Łódź;Karma i akcesoria zwierzęce;Bagietka;3.9;54;Błąd kierownika sklepu
2024-01-30;PLN-006;Warszawa;Słodycze i przekąski;Polędwica wołowa;1.3;32;Opóźniona dostawa
2024-01-30;PLN-079;Łódź;Lody i desery;Truskawki 500g;2.7;54;Niedoszacowana prognoza popytu
2024-01-30;PLN-117;Płock;Lody i desery;Łosoś świeży 200g;1.1;162;Niedoszacowana prognoza popytu
2024-01-30;PLN-025;Kraków;Chemia i higiena;Pieczywo razowe 400g;10.5;599;Opóźniona dostawa
2024-01-31;PLN-137;Jelenia Góra;Słodycze i przekąski;Bagietka;4.3;257;Niedoszacowana prognoza popytu
2024-01-31;PLN-003;Warszawa;Chemia i higiena;Masło 200g;0.3;0;Awaria dostawcy
2024-01-31;PLN-106;Częstochowa;Mięso i wędliny;Pieczywo razowe 400g;0.5;18;Opóźniona dostawa
2024-01-31;PLN-075;Łódź;Napoje bezalkoholowe;Jajka L 10szt;0.9;58;Niedoszacowana prognoza popytu
2024-01-31;PLN-079;Łódź;Nabiał i jaja;Sok pomarańcz. 1L;7.0;442;Burst popytowy (event/pogoda)
2024-02-01;PLN-056;Poznań;Warzywa i owoce;Kurczak filet 1kg;5.4;17;Niedoszacowana prognoza popytu
2024-02-01;PLN-089;Gdańsk;Piwo i alkohol;Mleko UHT 3.2% 1L;3.1;63;Opóźniona dostawa
2024-02-01;PLN-128;Nowy Sącz;Mięso i wędliny;Banany 1kg;8.5;1422;Opóźniona dostawa
2024-02-01;PLN-085;Gdańsk;Nabiał i jaja;Polędwica wołowa;4.4;60;Burst popytowy (event/pogoda)
2024-02-01;PLN-036;Kraków;Piwo i alkohol;Masło 200g;0.3;4;Burst popytowy (event/pogoda)
2024-02-01;PLN-015;Warszawa;Napoje bezalkoholowe;Polędwica wołowa;17.7;302;Niedoszacowana prognoza popytu
2024-02-01;PLN-089;Gdańsk;Dziecko;Mleko UHT 3.2% 1L;2.8;60;Opóźniona dostawa
2024-02-02;PLN-116;Płock;Non-food / dom;Twaróg 250g;5.07;1772;Brak na centralnym magazynie
2024-02-02;PLN-032;Kraków;Warzywa i owoce;Jabłka 1kg;2.47;135;Opóźniona dostawa
2024-02-02;PLN-135;Wałbrzych;Napoje bezalkoholowe;Wieprzowina karkówka 1kg;2.6;390;Burst popytowy (event/pogoda)
2024-02-02;PLN-003;Warszawa;Nabiał i jaja;Sok pomarańcz. 1L;15.99;1784;Opóźniona dostawa
2024-02-02;PLN-078;Łódź;Mięso i wędliny;Kurczak filet 1kg;2.73;399;Niedoszacowana prognoza popytu
2024-02-02;PLN-039;Kraków;Mrożonki;Łosoś świeży 200g;4.81;125;Niedoszacowana prognoza popytu
2024-02-02;PLN-034;Kraków;Słodycze i przekąski;Jajka L 10szt;4.03;225;Niedoszacowana prognoza popytu
2024-02-03;PLN-048;Wrocław;Warzywa i owoce;Sok pomarańcz. 1L;7.93;101;Opóźniona dostawa
2024-02-03;PLN-130;Nowy Sącz;Non-food / dom;Masło 200g;1.04;25;Burst popytowy (event/pogoda)
2024-02-03;PLN-056;Poznań;Napoje bezalkoholowe;Sok pomarańcz. 1L;4.29;364;Błąd kierownika sklepu
2024-02-03;PLN-066;Poznań;Piwo i alkohol;Truskawki 500g;1.95;26;Opóźniona dostawa
2024-02-03;PLN-051;Wrocław;Piwo i alkohol;Truskawki 500g;10.14;13;Niedoszacowana prognoza popytu
2024-02-03;PLN-098;Szczecin;Mięso i wędliny;Truskawki 500g;6.89;92;Awaria dostawcy
2024-02-05;PLN-060;Poznań;Dziecko;Pieczywo razowe 400g;13.3;574;Niedoszacowana prognoza popytu
2024-02-05;PLN-086;Gdańsk;Warzywa i owoce;Polędwica wołowa;0.7;19;Awaria dostawcy
2024-02-06;PLN-114;Kalisz;Piwo i alkohol;Jajka L 10szt;8.0;1254;Niedoszacowana prognoza popytu
2024-02-06;PLN-004;Warszawa;Napoje bezalkoholowe;Sok pomarańcz. 1L;3.2;435;Niedoszacowana prognoza popytu
2024-02-06;PLN-043;Wrocław;Sucha żywność / kasze;Mleko UHT 3.2% 1L;4.1;206;Opóźniona dostawa
2024-02-06;PLN-085;Gdańsk;Sucha żywność / kasze;Kefir 400g;0.8;31;Niedoszacowana prognoza popytu
2024-02-06;PLN-062;Poznań;Nabiał i jaja;Pieczywo razowe 400g;0.8;79;Niedoszacowana prognoza popytu
2024-02-06;PLN-029;Kraków;Sucha żywność / kasze;Sok pomarańcz. 1L;8.9;17;Niedoszacowana prognoza popytu
2024-02-07;PLN-004;Warszawa;Piwo i alkohol;Kurczak filet 1kg;3.6;18;Niedoszacowana prognoza popytu
2024-02-07;PLN-068;Poznań;Warzywa i owoce;Łosoś świeży 200g;8.7;115;Opóźniona dostawa
2024-02-07;PLN-043;Wrocław;Mięso i wędliny;Łosoś świeży 200g;1.5;142;Niedoszacowana prognoza popytu
2024-02-07;PLN-109;Opole;Piwo i alkohol;Bagietka;5.6;324;Brak na centralnym magazynie
2024-02-08;PLN-050;Wrocław;Karma i akcesoria zwierzęce;Pomidory 1kg;0.9;29;Opóźniona dostawa
2024-02-08;PLN-129;Nowy Sącz;Słodycze i przekąski;Wieprzowina karkówka 1kg;0.7;18;Niedoszacowana prognoza popytu
2024-02-08;PLN-015;Warszawa;Non-food / dom;Truskawki 500g;5.4;933;Brak na centralnym magazynie
2024-02-09;PLN-091;Lublin;Sucha żywność / kasze;Pieczywo razowe 400g;3.38;111;Burst popytowy (event/pogoda)
2024-02-09;PLN-123;Leszno;Słodycze i przekąski;Masło 200g;5.33;485;Błąd kierownika sklepu
2024-02-09;PLN-095;Bydgoszcz;Non-food / dom;Twaróg 250g;0.39;12;Opóźniona dostawa
2024-02-09;PLN-027;Kraków;Nabiał i jaja;Kefir 400g;2.08;64;Burst popytowy (event/pogoda)
2024-02-10;PLN-115;Płock;Mrożonki;Twaróg 250g;3.38;48;Niedoszacowana prognoza popytu
2024-02-10;PLN-040;Kraków;Napoje bezalkoholowe;Łosoś świeży 200g;4.29;264;Brak na centralnym magazynie
2024-02-10;PLN-089;Gdańsk;Piwo i alkohol;Kefir 400g;7.800000000000001;310;Opóźniona dostawa
2024-02-10;PLN-061;Poznań;Mięso i wędliny;Łosoś świeży 200g;3.64;316;Błąd kierownika sklepu
2024-02-10;PLN-103;Toruń;Piwo i alkohol;Łosoś świeży 200g;0.52;28;Niedoszacowana prognoza popytu
2024-02-12;PLN-011;Warszawa;Mięso i wędliny;Pomidory 1kg;6.8;60;Opóźniona dostawa
2024-02-12;PLN-016;Warszawa;Nabiał i jaja;Pomidory 1kg;4.7;41;Awaria dostawcy
2024-02-12;PLN-018;Warszawa;Dziecko;Sok pomarańcz. 1L;1.9;162;Niedoszacowana prognoza popytu
2024-02-12;PLN-067;Poznań;Lody i desery;Pomidory 1kg;5.8;224;Burst popytowy (event/pogoda)
2024-02-12;PLN-084;Gdańsk;Mrożonki;Łosoś świeży 200g;1.0;19;Błąd kierownika sklepu
2024-02-12;PLN-127;Tarnów;Non-food / dom;Kurczak filet 1kg;0.5;11;Błąd kierownika sklepu
2024-02-13;PLN-113;Kalisz;Ryby i mrożonki;Pomidory 1kg;2.9;132;Awaria dostawcy
2024-02-13;PLN-102;Katowice;Warzywa i owoce;Wieprzowina karkówka 1kg;8.1;598;Niedoszacowana prognoza popytu
2024-02-14;PLN-066;Poznań;Ryby i mrożonki;Twaróg 250g;2.9;53;Opóźniona dostawa
2024-02-14;PLN-126;Tarnów;Warzywa i owoce;Masło 200g;0.3;22;Niedoszacowana prognoza popytu
2024-02-14;PLN-127;Tarnów;Warzywa i owoce;Pomidory 1kg;7.1;31;Awaria dostawcy
2024-02-14;PLN-132;Legnica;Ryby i mrożonki;Banany 1kg;0.7;38;Niedoszacowana prognoza popytu
2024-02-14;PLN-096;Bydgoszcz;Warzywa i owoce;Truskawki 500g;1.4;28;Niedoszacowana prognoza popytu
2024-02-14;PLN-121;Konin;Mięso i wędliny;Mleko UHT 3.2% 1L;0.4;70;Burst popytowy (event/pogoda)
2024-02-14;PLN-048;Wrocław;Nabiał i jaja;Sok pomarańcz. 1L;1.6;43;Burst popytowy (event/pogoda)
2024-02-14;PLN-071;Poznań;Warzywa i owoce;Jajka L 10szt;0.3;14;Opóźniona dostawa
2024-02-14;PLN-019;Warszawa;Warzywa i owoce;Masło 200g;3.5;35;Brak na centralnym magazynie
2024-02-15;PLN-066;Poznań;Warzywa i owoce;Mleko UHT 3.2% 1L;3.3;44;Burst popytowy (event/pogoda)
2024-02-15;PLN-066;Poznań;Piwo i alkohol;Jabłka 1kg;1.2;15;Opóźniona dostawa
2024-02-15;PLN-108;Częstochowa;Nabiał i jaja;Mleko UHT 3.2% 1L;9.4;613;Brak na centralnym magazynie
2024-02-15;PLN-039;Kraków;Słodycze i przekąski;Truskawki 500g;3.7;12;Opóźniona dostawa
2024-02-15;PLN-121;Konin;Non-food / dom;Sok pomarańcz. 1L;5.1;300;Niedoszacowana prognoza popytu
2024-02-15;PLN-132;Legnica;Warzywa i owoce;Twaróg 250g;1.0;172;Niedoszacowana prognoza popytu
2024-02-16;PLN-130;Nowy Sącz;Piwo i alkohol;Mleko UHT 3.2% 1L;1.56;27;Burst popytowy (event/pogoda)
2024-02-16;PLN-016;Warszawa;Dziecko;Masło 200g;4.29;46;Opóźniona dostawa
2024-02-16;PLN-068;Poznań;Słodycze i przekąski;Masło 200g;10.79;164;Awaria dostawcy
2024-02-17;PLN-008;Warszawa;Dziecko;Kurczak filet 1kg;1.56;24;Błąd kierownika sklepu
2024-02-17;PLN-137;Jelenia Góra;Sucha żywność / kasze;Wieprzowina karkówka 1kg;4.81;31;Burst popytowy (event/pogoda)
2024-02-19;PLN-093;Lublin;Napoje bezalkoholowe;Truskawki 500g;0.3;6;Niedoszacowana prognoza popytu
2024-02-19;PLN-013;Warszawa;Karma i akcesoria zwierzęce;Kurczak filet 1kg;6.9;42;Opóźniona dostawa
2024-02-19;PLN-123;Leszno;Napoje bezalkoholowe;Pieczywo razowe 400g;2.7;104;Burst popytowy (event/pogoda)
2024-02-19;PLN-052;Wrocław;Ryby i mrożonki;Masło 200g;4.8;78;Niedoszacowana prognoza popytu
2024-02-20;PLN-014;Warszawa;Mięso i wędliny;Łosoś świeży 200g;8.4;488;Niedoszacowana prognoza popytu
2024-02-20;PLN-069;Poznań;Mięso i wędliny;Banany 1kg;2.8;235;Awaria dostawcy
2024-02-20;PLN-074;Łódź;Warzywa i owoce;Twaróg 250g;4.8;108;Awaria dostawcy
2024-02-20;PLN-112;Kalisz;Sucha żywność / kasze;Kurczak filet 1kg;0.7;79;Opóźniona dostawa
2024-02-20;PLN-127;Tarnów;Non-food / dom;Kefir 400g;0.8;19;Opóźniona dostawa
2024-02-20;PLN-138;Radom;Mięso i wędliny;Twaróg 250g;8.1;233;Niedoszacowana prognoza popytu
2024-02-20;PLN-101;Katowice;Non-food / dom;Pomidory 1kg;0.9;155;Opóźniona dostawa
2024-02-20;PLN-030;Kraków;Mięso i wędliny;Pomidory 1kg;0.3;11;Burst popytowy (event/pogoda)
2024-02-21;PLN-027;Kraków;Mięso i wędliny;Kurczak filet 1kg;7.6;363;Awaria dostawcy
2024-02-21;PLN-050;Wrocław;Mięso i wędliny;Sok pomarańcz. 1L;2.6;57;Niedoszacowana prognoza popytu
2024-02-21;PLN-126;Tarnów;Nabiał i jaja;Bagietka;9.6;26;Burst popytowy (event/pogoda)
2024-02-22;PLN-031;Kraków;Non-food / dom;Łosoś świeży 200g;1.8;97;Burst popytowy (event/pogoda)
2024-02-22;PLN-022;Warszawa;Non-food / dom;Łosoś świeży 200g;9.1;263;Błąd kierownika sklepu
2024-02-22;PLN-116;Płock;Pieczywo;Truskawki 500g;2.5;12;Niedoszacowana prognoza popytu
2024-02-22;PLN-023;Warszawa;Warzywa i owoce;Mleko UHT 3.2% 1L;2.6;4;Niedoszacowana prognoza popytu
2024-02-23;PLN-072;Poznań;Piwo i alkohol;Łosoś świeży 200g;11.57;1281;Niedoszacowana prognoza popytu
2024-02-23;PLN-058;Poznań;Słodycze i przekąski;Bagietka;3.51;117;Awaria dostawcy
2024-02-23;PLN-089;Gdańsk;Warzywa i owoce;Twaróg 250g;3.77;73;Opóźniona dostawa
