Tydzień;Data początku tygodnia;SKU;Grupa;Cena PLON (PLN);Cena Biedronka (PLN);Cena Lidl (PLN);Cena Żabka (PLN);Cena Carrefour (PLN)
2024-W01;2024-01-08;Masło ekstra 200g;Nabiał;8.84;8.85;8.32;9.5;8.94
2024-W01;2024-01-08;Banany 1kg;Owoce;5.57;5.33;5.21;5.97;5.51
2024-W01;2024-01-08;Pomidory 1kg;Warzywa;10.16;10.08;9.21;11.13;10.4
2024-W01;2024-01-08;Jabłka Ligol 1kg;Owoce;4.23;3.95;4.19;4.79;4.33
2024-W01;2024-01-08;Kurczak filet 1kg;Mięso;24.89;24.29;25.38;28.35;25.76
2024-W01;2024-01-08;Mielone wieprz. 500g;Mięso;14.77;14.32;13.56;16.26;14.53
2024-W01;2024-01-08;Karkówka 1kg;Mięso;27.33;27.05;26.42;31.33;28.17
2024-W01;2024-01-08;Coca-Cola 2L;Napoje;8.65;8.27;8.66;9.58;8.49
2024-W01;2024-01-08;Pepsi 2L;Napoje;8.1;8.02;8.04;8.84;8.11
2024-W01;2024-01-08;Woda Żywiec 1.5L;Napoje;2.39;2.28;2.26;2.64;2.51
2024-W01;2024-01-08;Piwo Tyskie 0.5L;Alkohol;3.97;3.99;3.78;4.56;4.24
2024-W01;2024-01-08;Piwo Lech 0.5L;Alkohol;3.73;3.81;3.5;3.88;3.82
2024-W01;2024-01-08;Wódka Wyborowa 0.5L;Alkohol;31.35;29.86;30.55;35.02;31.0
2024-W01;2024-01-08;Kawa Jacobs 250g;Suche;19.23;18.28;18.23;20.41;19.52
2024-W01;2024-01-08;Cukier biały 1kg;Suche;4.57;4.33;4.15;5.1;4.67
2024-W01;2024-01-08;Mąka pszenna 1kg;Suche;3.24;2.9;3.04;3.7;3.13
2024-W01;2024-01-08;Ryż biały 1kg;Suche;7.01;6.79;6.77;7.89;7.26
2024-W01;2024-01-08;Makaron Lubella 500g;Suche;4.54;4.42;4.39;5.31;4.71
2024-W01;2024-01-08;Olej rzepakowy 1L;Suche;8.86;8.5;8.41;9.43;8.9
2024-W01;2024-01-08;Płatki Nestle 250g;Suche;10.09;9.9;9.27;11.59;9.93
2024-W01;2024-01-08;Czekolada Wedel 100g;Słodycze;5.65;5.39;5.42;6.32;5.89
2024-W01;2024-01-08;Lody Magnum 4-pack;Lody;15.18;14.58;14.45;16.77;15.57
2024-W01;2024-01-08;Pampers 4 26szt;Dziecko;49.41;48.5;50.31;54.81;49.04
2024-W01;2024-01-08;Papier toaletowy 8r;Chemia;15.19;14.45;14.97;16.31;15.67
2024-W01;2024-01-08;Proszek Persil 5kg;Chemia;49.76;48.92;48.95;53.57;50.59
2024-W01;2024-01-08;Karma Whiskas 400g;Zwierzęta;5.48;5.21;5.53;6.04;5.6
2024-W01;2024-01-08;Karma Pedigree 1.2kg;Zwierzęta;12.21;11.6;11.19;12.7;12.18
2024-W02;2024-01-15;Mleko UHT 3.2% 1L;Nabiał;4.59;4.2;4.56;5.06;4.75
2024-W02;2024-01-15;Chleb wiejski 500g;Pieczywo;7.05;7.06;6.32;7.29;6.91
2024-W02;2024-01-15;Jajka L 10szt;Nabiał;9.54;9.33;9.32;11.16;9.56
2024-W02;2024-01-15;Masło ekstra 200g;Nabiał;9.04;8.72;8.59;9.55;9.12
2024-W02;2024-01-15;Banany 1kg;Owoce;5.39;5.02;4.9;5.94;5.54
2024-W02;2024-01-15;Pomidory 1kg;Warzywa;10.07;9.7;9.64;11.39;10.25
2024-W02;2024-01-15;Jabłka Ligol 1kg;Owoce;4.32;4.25;4.13;4.64;4.27
2024-W02;2024-01-15;Kurczak filet 1kg;Mięso;24.75;23.34;23.46;26.98;25.53
2024-W02;2024-01-15;Mielone wieprz. 500g;Mięso;14.75;14.07;13.38;16.54;14.47
2024-W02;2024-01-15;Karkówka 1kg;Mięso;27.6;26.74;25.22;30.27;26.15
2024-W02;2024-01-15;Coca-Cola 2L;Napoje;8.41;8.27;7.44;8.49;8.69
2024-W02;2024-01-15;Pepsi 2L;Napoje;7.9;7.54;7.22;8.73;8.29
2024-W02;2024-01-15;Woda Żywiec 1.5L;Napoje;2.48;2.36;2.44;2.55;2.52
2024-W02;2024-01-15;Piwo Tyskie 0.5L;Alkohol;3.89;3.81;3.63;4.53;3.91
2024-W02;2024-01-15;Piwo Lech 0.5L;Alkohol;3.79;3.49;3.54;3.99;4.03
2024-W02;2024-01-15;Wódka Wyborowa 0.5L;Alkohol;32.92;31.57;30.41;37.49;33.36
2024-W02;2024-01-15;Kawa Jacobs 250g;Suche;18.95;18.76;17.9;22.71;20.47
2024-W02;2024-01-15;Cukier biały 1kg;Suche;4.44;4.29;4.17;4.9;4.58
2024-W02;2024-01-15;Mąka pszenna 1kg;Suche;3.24;3.15;2.95;3.63;3.31
2024-W02;2024-01-15;Ryż biały 1kg;Suche;6.91;6.81;6.68;7.61;7.03
2024-W02;2024-01-15;Makaron Lubella 500g;Suche;4.46;4.33;4.15;4.94;4.43
2024-W02;2024-01-15;Olej rzepakowy 1L;Suche;8.84;8.55;8.66;9.6;8.9
2024-W02;2024-01-15;Płatki Nestle 250g;Suche;9.98;9.35;9.51;11.24;10.23
2024-W02;2024-01-15;Czekolada Wedel 100g;Słodycze;5.47;5.39;5.46;6.24;5.25
2024-W02;2024-01-15;Lody Magnum 4-pack;Lody;15.21;14.72;14.61;15.66;15.55
2024-W02;2024-01-15;Pampers 4 26szt;Dziecko;50.1;46.49;48.06;53.42;51.37
2024-W02;2024-01-15;Papier toaletowy 8r;Chemia;15.29;14.48;15.22;17.39;15.74
2024-W02;2024-01-15;Proszek Persil 5kg;Chemia;49.1;47.05;48.16;52.74;48.63
2024-W02;2024-01-15;Karma Whiskas 400g;Zwierzęta;5.55;5.32;4.99;6.27;5.68
2024-W02;2024-01-15;Karma Pedigree 1.2kg;Zwierzęta;12.06;10.76;11.54;12.03;12.49
2024-W03;2024-01-22;Mleko UHT 3.2% 1L;Nabiał;4.37;4.08;4.18;5.03;4.41
2024-W03;2024-01-22;Chleb wiejski 500g;Pieczywo;6.93;6.76;6.62;7.82;7.24
2024-W03;2024-01-22;Jajka L 10szt;Nabiał;9.49;9.29;9.08;10.72;9.73
2024-W03;2024-01-22;Masło ekstra 200g;Nabiał;8.99;8.46;8.76;10.13;9.22
2024-W03;2024-01-22;Banany 1kg;Owoce;5.6;5.15;5.49;6.34;5.36
2024-W03;2024-01-22;Pomidory 1kg;Warzywa;10.11;9.86;9.84;11.3;10.4
2024-W03;2024-01-22;Jabłka Ligol 1kg;Owoce;4.27;4.21;4.32;4.58;4.43
2024-W03;2024-01-22;Kurczak filet 1kg;Mięso;24.81;23.73;22.56;27.86;24.87
2024-W03;2024-01-22;Mielone wieprz. 500g;Mięso;15.05;15.48;14.43;15.09;15.25
2024-W03;2024-01-22;Karkówka 1kg;Mięso;27.08;26.18;26.63;28.09;28.19
2024-W03;2024-01-22;Coca-Cola 2L;Napoje;8.81;8.45;8.3;9.51;8.56
2024-W03;2024-01-22;Pepsi 2L;Napoje;7.93;7.57;7.51;9.09;8.25
2024-W03;2024-01-22;Woda Żywiec 1.5L;Napoje;2.52;2.38;2.37;2.78;2.48
2024-W03;2024-01-22;Piwo Tyskie 0.5L;Alkohol;3.95;3.76;3.55;4.54;4.25
2024-W03;2024-01-22;Piwo Lech 0.5L;Alkohol;3.76;3.61;3.63;4.03;3.89
2024-W03;2024-01-22;Wódka Wyborowa 0.5L;Alkohol;32.32;31.19;30.27;34.83;32.56
2024-W03;2024-01-22;Kawa Jacobs 250g;Suche;18.99;18.7;17.33;19.53;18.56
2024-W03;2024-01-22;Cukier biały 1kg;Suche;4.52;4.26;4.36;5.08;4.57
2024-W03;2024-01-22;Mąka pszenna 1kg;Suche;3.3;3.06;3.16;3.93;3.28
2024-W03;2024-01-22;Ryż biały 1kg;Suche;6.83;6.9;6.67;7.28;6.76
2024-W03;2024-01-22;Makaron Lubella 500g;Suche;4.49;4.28;4.19;4.75;4.56
2024-W03;2024-01-22;Olej rzepakowy 1L;Suche;9.01;8.63;8.85;10.4;9.65
2024-W03;2024-01-22;Płatki Nestle 250g;Suche;10.01;9.98;9.64;11.0;9.94
2024-W03;2024-01-22;Czekolada Wedel 100g;Słodycze;5.51;5.58;5.31;5.43;5.52
2024-W03;2024-01-22;Lody Magnum 4-pack;Lody;15.1;15.14;14.81;17.64;16.02
2024-W03;2024-01-22;Pampers 4 26szt;Dziecko;49.04;48.37;47.12;53.52;49.13
2024-W03;2024-01-22;Papier toaletowy 8r;Chemia;14.95;15.18;13.69;16.39;15.17
2024-W03;2024-01-22;Proszek Persil 5kg;Chemia;49.78;51.05;49.0;55.84;50.08
2024-W03;2024-01-22;Karma Whiskas 400g;Zwierzęta;5.53;5.31;5.47;6.12;5.45
2024-W03;2024-01-22;Karma Pedigree 1.2kg;Zwierzęta;12.2;11.75;11.75;13.87;11.71
2024-W04;2024-01-29;Mleko UHT 3.2% 1L;Nabiał;4.63;4.31;4.3;5.11;4.9
2024-W04;2024-01-29;Chleb wiejski 500g;Pieczywo;7.0;6.78;6.57;7.21;6.83
2024-W04;2024-01-29;Jajka L 10szt;Nabiał;9.67;9.39;9.24;9.94;9.85
2024-W04;2024-01-29;Masło ekstra 200g;Nabiał;8.99;8.9;8.33;9.88;9.6
2024-W04;2024-01-29;Banany 1kg;Owoce;5.58;5.15;5.38;6.42;5.76
2024-W04;2024-01-29;Pomidory 1kg;Warzywa;9.76;9.59;8.97;10.46;10.02
2024-W04;2024-01-29;Jabłka Ligol 1kg;Owoce;4.27;4.06;4.11;4.72;4.2
2024-W04;2024-01-29;Kurczak filet 1kg;Mięso;25.03;23.6;24.07;27.23;25.32
2024-W04;2024-01-29;Mielone wieprz. 500g;Mięso;15.25;14.93;14.65;16.79;16.18
2024-W04;2024-01-29;Karkówka 1kg;Mięso;26.21;25.54;24.22;28.93;26.85
2024-W04;2024-01-29;Coca-Cola 2L;Napoje;8.63;8.92;8.29;9.47;8.66
2024-W04;2024-01-29;Pepsi 2L;Napoje;8.09;7.55;7.78;8.95;8.43
2024-W04;2024-01-29;Woda Żywiec 1.5L;Napoje;2.49;2.4;2.36;2.74;2.42
2024-W04;2024-01-29;Piwo Tyskie 0.5L;Alkohol;3.99;3.91;3.61;4.16;3.99
2024-W04;2024-01-29;Piwo Lech 0.5L;Alkohol;3.84;3.77;3.63;3.98;3.87
2024-W04;2024-01-29;Wódka Wyborowa 0.5L;Alkohol;33.05;31.46;32.82;35.44;35.18
2024-W04;2024-01-29;Kawa Jacobs 250g;Suche;18.43;17.52;17.33;20.44;19.44
2024-W04;2024-01-29;Cukier biały 1kg;Suche;4.6;4.35;4.31;5.12;4.82
2024-W04;2024-01-29;Mąka pszenna 1kg;Suche;3.3;3.11;3.19;3.85;3.45
2024-W04;2024-01-29;Ryż biały 1kg;Suche;6.9;6.8;6.78;8.11;6.93
2024-W04;2024-01-29;Makaron Lubella 500g;Suche;4.42;4.01;3.97;4.77;4.63
2024-W04;2024-01-29;Olej rzepakowy 1L;Suche;8.96;8.55;8.74;9.86;9.14
2024-W04;2024-01-29;Płatki Nestle 250g;Suche;10.05;10.24;9.61;10.44;10.8
2024-W04;2024-01-29;Czekolada Wedel 100g;Słodycze;5.49;5.4;5.47;5.88;5.6
2024-W04;2024-01-29;Lody Magnum 4-pack;Lody;15.13;14.82;13.79;17.0;15.09
2024-W04;2024-01-29;Pampers 4 26szt;Dziecko;51.11;49.3;50.45;61.21;52.01
2024-W04;2024-01-29;Papier toaletowy 8r;Chemia;15.52;14.49;15.67;17.93;16.26
2024-W04;2024-01-29;Proszek Persil 5kg;Chemia;49.81;47.44;48.0;50.66;53.78
2024-W04;2024-01-29;Karma Whiskas 400g;Zwierzęta;5.5;5.07;5.26;5.72;5.73
2024-W04;2024-01-29;Karma Pedigree 1.2kg;Zwierzęta;11.98;11.35;11.52;13.71;12.19
2024-W05;2024-02-05;Mleko UHT 3.2% 1L;Nabiał;4.53;4.21;4.36;5.07;4.29
2024-W05;2024-02-05;Chleb wiejski 500g;Pieczywo;7.08;6.75;6.85;7.76;6.83
2024-W05;2024-02-05;Jajka L 10szt;Nabiał;9.53;9.35;8.84;10.75;9.83
2024-W05;2024-02-05;Masło ekstra 200g;Nabiał;9.26;9.1;8.76;10.56;9.53
2024-W05;2024-02-05;Banany 1kg;Owoce;5.52;5.04;5.14;6.25;5.73
2024-W05;2024-02-05;Pomidory 1kg;Warzywa;9.96;9.8;9.63;10.93;11.05
2024-W05;2024-02-05;Jabłka Ligol 1kg;Owoce;4.31;4.17;3.9;4.7;4.36
2024-W05;2024-02-05;Kurczak filet 1kg;Mięso;24.91;23.18;23.44;26.75;24.64
2024-W05;2024-02-05;Mielone wieprz. 500g;Mięso;14.79;14.08;13.89;15.8;15.24
2024-W05;2024-02-05;Karkówka 1kg;Mięso;27.35;26.01;27.28;31.4;28.93
2024-W05;2024-02-05;Coca-Cola 2L;Napoje;8.36;8.68;8.21;8.4;8.49
2024-W05;2024-02-05;Pepsi 2L;Napoje;8.08;7.37;7.5;8.58;8.31
2024-W05;2024-02-05;Woda Żywiec 1.5L;Napoje;2.48;2.35;2.34;2.76;2.4
2024-W05;2024-02-05;Piwo Tyskie 0.5L;Alkohol;3.94;3.66;3.7;4.02;4.06
2024-W05;2024-02-05;Piwo Lech 0.5L;Alkohol;3.8;3.6;3.63;4.44;3.64
2024-W05;2024-02-05;Wódka Wyborowa 0.5L;Alkohol;32.71;30.89;29.53;34.87;33.63
2024-W05;2024-02-05;Kawa Jacobs 250g;Suche;18.89;18.12;17.91;19.98;18.61
2024-W05;2024-02-05;Cukier biały 1kg;Suche;4.37;4.31;4.03;5.08;4.66
2024-W05;2024-02-05;Mąka pszenna 1kg;Suche;3.41;3.08;3.51;3.59;3.67
2024-W05;2024-02-05;Ryż biały 1kg;Suche;6.87;6.62;6.32;7.67;6.85
2024-W05;2024-02-05;Makaron Lubella 500g;Suche;4.43;4.19;4.18;4.9;4.67
2024-W05;2024-02-05;Olej rzepakowy 1L;Suche;8.73;8.09;8.62;9.93;8.84
2024-W05;2024-02-05;Płatki Nestle 250g;Suche;9.98;9.69;9.28;10.55;9.97
2024-W05;2024-02-05;Czekolada Wedel 100g;Słodycze;5.69;5.62;5.29;6.28;5.75
2024-W05;2024-02-05;Lody Magnum 4-pack;Lody;14.5;14.16;13.65;16.38;15.03
2024-W05;2024-02-05;Pampers 4 26szt;Dziecko;49.87;48.29;49.33;54.97;49.64
2024-W05;2024-02-05;Papier toaletowy 8r;Chemia;14.74;14.64;14.86;15.45;15.28
2024-W05;2024-02-05;Proszek Persil 5kg;Chemia;50.59;49.5;47.98;53.84;52.46
2024-W05;2024-02-05;Karma Whiskas 400g;Zwierzęta;5.36;5.42;4.98;5.65;5.7
2024-W05;2024-02-05;Karma Pedigree 1.2kg;Zwierzęta;12.01;11.95;11.04;13.66;12.79
2024-W06;2024-02-12;Mleko UHT 3.2% 1L;Nabiał;4.46;4.21;4.23;4.83;4.46
2024-W06;2024-02-12;Chleb wiejski 500g;Pieczywo;7.0;6.77;6.77;7.59;7.22
2024-W06;2024-02-12;Jajka L 10szt;Nabiał;9.52;9.1;8.53;11.18;9.6
2024-W06;2024-02-12;Masło ekstra 200g;Nabiał;9.0;8.22;7.75;9.97;9.39
2024-W06;2024-02-12;Banany 1kg;Owoce;5.51;5.33;5.2;5.52;5.78
2024-W06;2024-02-12;Pomidory 1kg;Warzywa;10.13;10.09;9.93;10.95;10.67
2024-W06;2024-02-12;Jabłka Ligol 1kg;Owoce;4.2;4.09;4.07;4.66;4.31
2024-W06;2024-02-12;Kurczak filet 1kg;Mięso;25.83;24.28;23.32;29.45;27.78
2024-W06;2024-02-12;Mielone wieprz. 500g;Mięso;15.31;14.64;15.06;14.95;15.8
2024-W06;2024-02-12;Karkówka 1kg;Mięso;26.44;26.31;24.83;28.85;27.14
2024-W06;2024-02-12;Coca-Cola 2L;Napoje;8.52;8.28;7.74;9.63;8.17
2024-W06;2024-02-12;Pepsi 2L;Napoje;8.0;7.61;7.91;8.41;8.44
2024-W06;2024-02-12;Woda Żywiec 1.5L;Napoje;2.43;2.39;2.22;2.73;2.5
2024-W06;2024-02-12;Piwo Tyskie 0.5L;Alkohol;3.93;3.91;3.9;4.04;4.25
2024-W06;2024-02-12;Piwo Lech 0.5L;Alkohol;3.91;3.66;3.55;4.07;3.87
2024-W06;2024-02-12;Wódka Wyborowa 0.5L;Alkohol;33.2;31.67;30.83;34.23;33.32
2024-W06;2024-02-12;Kawa Jacobs 250g;Suche;18.89;19.14;17.27;21.19;20.19
2024-W06;2024-02-12;Cukier biały 1kg;Suche;4.38;4.28;4.19;4.55;4.5
2024-W06;2024-02-12;Mąka pszenna 1kg;Suche;3.33;3.25;3.14;3.71;3.29
2024-W06;2024-02-12;Ryż biały 1kg;Suche;6.91;6.64;6.37;7.6;7.06
2024-W06;2024-02-12;Makaron Lubella 500g;Suche;4.46;4.19;4.15;4.65;4.51
2024-W06;2024-02-12;Olej rzepakowy 1L;Suche;9.04;8.78;8.46;10.2;9.06
2024-W06;2024-02-12;Płatki Nestle 250g;Suche;10.01;9.7;9.17;11.17;10.46
2024-W06;2024-02-12;Czekolada Wedel 100g;Słodycze;5.45;5.38;5.13;5.93;5.82
2024-W06;2024-02-12;Lody Magnum 4-pack;Lody;15.29;14.98;14.34;17.45;15.03
2024-W06;2024-02-12;Pampers 4 26szt;Dziecko;50.06;46.86;47.05;58.75;53.31
2024-W06;2024-02-12;Papier toaletowy 8r;Chemia;15.21;14.24;13.94;16.59;15.6
2024-W06;2024-02-12;Proszek Persil 5kg;Chemia;50.61;47.59;49.36;58.13;49.77
2024-W06;2024-02-12;Karma Whiskas 400g;Zwierzęta;5.42;5.67;5.07;6.04;5.62
2024-W06;2024-02-12;Karma Pedigree 1.2kg;Zwierzęta;12.01;11.47;11.79;14.0;12.32
2024-W07;2024-02-19;Mleko UHT 3.2% 1L;Nabiał;4.55;4.56;4.53;5.07;4.55
2024-W07;2024-02-19;Chleb wiejski 500g;Pieczywo;6.89;6.87;6.5;8.01;6.98
2024-W07;2024-02-19;Jajka L 10szt;Nabiał;9.35;8.48;9.0;11.0;9.83
2024-W07;2024-02-19;Masło ekstra 200g;Nabiał;9.1;8.42;8.51;9.94;9.11
2024-W07;2024-02-19;Banany 1kg;Owoce;5.47;5.2;5.07;5.9;5.64
2024-W07;2024-02-19;Pomidory 1kg;Warzywa;9.94;9.56;9.6;10.62;9.6
2024-W07;2024-02-19;Jabłka Ligol 1kg;Owoce;4.33;3.98;4.11;5.0;4.5
2024-W07;2024-02-19;Kurczak filet 1kg;Mięso;24.91;25.23;23.61;28.92;25.59
2024-W07;2024-02-19;Mielone wieprz. 500g;Mięso;14.71;14.48;14.14;15.05;14.36
2024-W07;2024-02-19;Karkówka 1kg;Mięso;27.27;26.61;25.68;29.23;28.87
2024-W07;2024-02-19;Coca-Cola 2L;Napoje;8.47;8.04;8.27;9.06;8.82
2024-W07;2024-02-19;Pepsi 2L;Napoje;7.92;7.66;7.57;9.52;7.93
2024-W07;2024-02-19;Woda Żywiec 1.5L;Napoje;2.44;2.25;2.23;2.89;2.55
2024-W07;2024-02-19;Piwo Tyskie 0.5L;Alkohol;3.94;3.82;3.7;4.36;4.14
2024-W07;2024-02-19;Piwo Lech 0.5L;Alkohol;3.74;3.56;3.57;4.32;3.85
2024-W07;2024-02-19;Wódka Wyborowa 0.5L;Alkohol;32.82;32.0;30.16;36.0;36.22
2024-W07;2024-02-19;Kawa Jacobs 250g;Suche;19.22;17.58;17.87;22.1;19.93
2024-W07;2024-02-19;Cukier biały 1kg;Suche;4.45;4.31;4.14;4.81;4.58
2024-W07;2024-02-19;Mąka pszenna 1kg;Suche;3.35;3.24;3.25;3.66;3.48
2024-W07;2024-02-19;Ryż biały 1kg;Suche;6.71;6.41;6.27;7.68;6.77
2024-W07;2024-02-19;Makaron Lubella 500g;Suche;4.48;4.28;4.36;4.9;4.53
2024-W07;2024-02-19;Olej rzepakowy 1L;Suche;8.96;8.47;8.27;9.44;9.15
2024-W07;2024-02-19;Płatki Nestle 250g;Suche;10.13;9.95;9.35;11.4;10.43
2024-W07;2024-02-19;Czekolada Wedel 100g;Słodycze;5.58;5.42;5.19;6.44;5.71
2024-W07;2024-02-19;Lody Magnum 4-pack;Lody;15.17;15.6;13.76;17.13;14.77
2024-W07;2024-02-19;Pampers 4 26szt;Dziecko;49.53;47.4;46.0;52.44;50.58
2024-W07;2024-02-19;Papier toaletowy 8r;Chemia;14.68;13.65;14.21;15.88;15.07
2024-W07;2024-02-19;Proszek Persil 5kg;Chemia;50.73;49.43;47.01;59.75;52.39
2024-W07;2024-02-19;Karma Whiskas 400g;Zwierzęta;5.47;5.16;5.41;6.0;5.45
2024-W07;2024-02-19;Karma Pedigree 1.2kg;Zwierzęta;12.47;11.2;11.91;13.77;12.9
2024-W08;2024-02-26;Mleko UHT 3.2% 1L;Nabiał;4.51;4.38;4.34;4.99;4.63
2024-W08;2024-02-26;Chleb wiejski 500g;Pieczywo;7.09;7.02;6.77;7.94;7.24
2024-W08;2024-02-26;Jajka L 10szt;Nabiał;9.45;9.06;9.18;10.16;9.43
2024-W08;2024-02-26;Masło ekstra 200g;Nabiał;8.99;8.73;8.44;10.03;9.22
2024-W08;2024-02-26;Banany 1kg;Owoce;5.49;5.27;5.43;5.87;5.61
2024-W08;2024-02-26;Pomidory 1kg;Warzywa;9.78;9.29;9.37;10.8;9.6
2024-W08;2024-02-26;Jabłka Ligol 1kg;Owoce;4.35;4.24;3.9;5.0;4.56
2024-W08;2024-02-26;Kurczak filet 1kg;Mięso;24.92;24.81;23.06;26.02;24.99
2024-W08;2024-02-26;Mielone wieprz. 500g;Mięso;15.01;13.97;14.45;15.39;14.46
2024-W08;2024-02-26;Karkówka 1kg;Mięso;26.83;26.3;26.69;29.36;27.8
2024-W08;2024-02-26;Coca-Cola 2L;Napoje;8.61;8.49;8.21;9.15;8.6
2024-W08;2024-02-26;Pepsi 2L;Napoje;7.79;7.05;7.52;8.68;8.1
2024-W08;2024-02-26;Woda Żywiec 1.5L;Napoje;2.51;2.46;2.44;2.84;2.65
2024-W08;2024-02-26;Piwo Tyskie 0.5L;Alkohol;3.99;3.75;3.78;4.41;4.1
2024-W08;2024-02-26;Piwo Lech 0.5L;Alkohol;3.85;3.69;3.71;4.4;3.66
2024-W08;2024-02-26;Wódka Wyborowa 0.5L;Alkohol;33.39;31.82;32.57;34.24;33.27
2024-W08;2024-02-26;Kawa Jacobs 250g;Suche;18.87;18.26;18.55;19.88;19.57
2024-W08;2024-02-26;Cukier biały 1kg;Suche;4.42;4.32;4.28;4.68;4.53
2024-W08;2024-02-26;Mąka pszenna 1kg;Suche;3.35;3.29;3.05;3.65;3.43
2024-W08;2024-02-26;Ryż biały 1kg;Suche;7.18;6.73;6.97;8.07;7.39
2024-W08;2024-02-26;Makaron Lubella 500g;Suche;4.5;4.41;4.34;4.88;4.41
2024-W08;2024-02-26;Olej rzepakowy 1L;Suche;8.93;8.65;7.89;9.94;8.95
2024-W08;2024-02-26;Płatki Nestle 250g;Suche;9.96;10.19;9.82;10.26;10.96
2024-W08;2024-02-26;Czekolada Wedel 100g;Słodycze;5.47;5.34;5.21;6.07;5.49
2024-W08;2024-02-26;Lody Magnum 4-pack;Lody;15.11;15.28;14.36;16.42;15.55
2024-W08;2024-02-26;Pampers 4 26szt;Dziecko;49.46;48.91;47.22;51.71;49.77
2024-W08;2024-02-26;Papier toaletowy 8r;Chemia;15.27;14.32;13.94;16.53;15.13
2024-W08;2024-02-26;Proszek Persil 5kg;Chemia;51.22;49.23;48.77;56.24;48.0
2024-W08;2024-02-26;Karma Whiskas 400g;Zwierzęta;5.47;5.35;5.4;6.1;5.4
2024-W08;2024-02-26;Karma Pedigree 1.2kg;Zwierzęta;11.87;11.01;11.48;12.32;12.02
2024-W09;2024-03-04;Mleko UHT 3.2% 1L;Nabiał;4.59;4.31;4.42;5.42;4.59
2024-W09;2024-03-04;Chleb wiejski 500g;Pieczywo;7.0;6.74;6.53;7.45;7.15
2024-W09;2024-03-04;Jajka L 10szt;Nabiał;9.69;9.93;9.18;10.55;9.65
