Data;ID sklepu;Miasto;Kategoria;SKU;Wartość waste (PLN);Powód
2024-01-13;PLN-114;Kalisz;Pieczywo;Bagietka;69.05;Uszkodzenie mechaniczne
2024-01-13;PLN-128;Nowy Sącz;Pieczywo;Chleb wiejski;179.83;Łańcuch chłodniczy — błąd
2024-01-13;PLN-080;Łódź;Ryby i mrożonki;Łosoś świeży;8.05;Uszkodzenie mechaniczne
2024-01-13;PLN-032;Kraków;Warzywa i owoce;Mango;22.95;Przeterminowanie (nie udało się sprzedać)
2024-01-13;PLN-099;Szczecin;Mięso i wędliny;Wędliny krojone;85.45;Przeterminowanie (nie udało się sprzedać)
2024-01-13;PLN-018;Warszawa;Warzywa i owoce;Pomidory koktajl;11.9;Uszkodzenie mechaniczne
2024-01-13;PLN-096;Bydgoszcz;Nabiał i jaja;Twaróg;44.26;Przeterminowanie (nie udało się sprzedać)
2024-01-13;PLN-008;Warszawa;Nabiał i jaja;Twaróg;377.93;Błąd zatowarowania (nadmiar)
2024-01-14;PLN-016;Warszawa;Mięso i wędliny;Boczek;86.57;Błąd zatowarowania (nadmiar)
2024-01-14;PLN-016;Warszawa;Mięso i wędliny;Kurczak filet;113.54;Przeterminowanie (nie udało się sprzedać)
2024-01-14;PLN-007;Warszawa;Warzywa i owoce;Banany dojrzałe;97.89;Uszkodzenie mechaniczne
2024-01-14;PLN-105;Toruń;Ryby i mrożonki;Łosoś świeży;73.13;Przeterminowanie (nie udało się sprzedać)
2024-01-14;PLN-055;Poznań;Mięso i wędliny;Boczek;75.13;Błąd zatowarowania (nadmiar)
2024-01-14;PLN-003;Warszawa;Pieczywo;Tort biszkoptowy;94.56;Przeterminowanie (nie udało się sprzedać)
2024-01-15;PLN-140;Radom;Warzywa i owoce;Pomidory koktajl;11.15;Uszkodzenie mechaniczne
2024-01-15;PLN-109;Opole;Mięso i wędliny;Boczek;101.68;Przeterminowanie (nie udało się sprzedać)
2024-01-15;PLN-120;Konin;Nabiał i jaja;Twaróg;5.8;Przeterminowanie (nie udało się sprzedać)
2024-01-16;PLN-096;Bydgoszcz;Ryby i mrożonki;Łosoś świeży;205.91;Przeterminowanie (nie udało się sprzedać)
2024-01-16;PLN-053;Wrocław;Warzywa i owoce;Borówki;39.17;Przeterminowanie (nie udało się sprzedać)
2024-01-16;PLN-123;Leszno;Warzywa i owoce;Sałata lodowa;217.39;Przeterminowanie (nie udało się sprzedać)
2024-01-16;PLN-111;Kalisz;Ryby i mrożonki;Pstrąg;79.86;Uszkodzenie mechaniczne
2024-01-16;PLN-050;Wrocław;Pieczywo;Bagietka;19.99;Łańcuch chłodniczy — błąd
2024-01-17;PLN-127;Tarnów;Mięso i wędliny;Karkówka;107.49;Przeterminowanie (nie udało się sprzedać)
2024-01-17;PLN-073;Łódź;Ryby i mrożonki;Krewetki świeże;41.5;Błąd zatowarowania (nadmiar)
2024-01-17;PLN-123;Leszno;Pieczywo;Bułki kajzerki;63.46;Uszkodzenie mechaniczne
2024-01-18;PLN-125;Tarnów;Nabiał i jaja;Ser pleśniowy;31.55;Przeterminowanie (nie udało się sprzedać)
2024-01-18;PLN-012;Warszawa;Pieczywo;Bułki kajzerki;311.23;Przeterminowanie (nie udało się sprzedać)
2024-01-18;PLN-021;Warszawa;Nabiał i jaja;Ser pleśniowy;121.09;Przeterminowanie (nie udało się sprzedać)
2024-01-18;PLN-134;Wałbrzych;Warzywa i owoce;Borówki;156.82;Przeterminowanie (nie udało się sprzedać)
2024-01-18;PLN-054;Wrocław;Pieczywo;Chleb wiejski;102.01;Błąd zatowarowania (nadmiar)
2024-01-18;PLN-054;Wrocław;Nabiał i jaja;Twaróg;65.06;Przeterminowanie (nie udało się sprzedać)
2024-01-18;PLN-077;Łódź;Nabiał i jaja;Jogurt naturalny;281.91;Przeterminowanie (nie udało się sprzedać)
2024-01-18;PLN-012;Warszawa;Warzywa i owoce;Maliny;439.07;Przeterminowanie (nie udało się sprzedać)
2024-01-19;PLN-076;Łódź;Pieczywo;Bagietka;150.85;Łańcuch chłodniczy — błąd
2024-01-19;PLN-125;Tarnów;Pieczywo;Chleb wiejski;25.5;Przeterminowanie (nie udało się sprzedać)
2024-01-19;PLN-126;Tarnów;Pieczywo;Tort biszkoptowy;130.7;Uszkodzenie mechaniczne
2024-01-19;PLN-068;Poznań;Mięso i wędliny;Mielone wieprzowo-wołowe;173.74;Przeterminowanie (nie udało się sprzedać)
2024-01-19;PLN-095;Bydgoszcz;Nabiał i jaja;Jogurt naturalny;128.81;Przeterminowanie (nie udało się sprzedać)
2024-01-19;PLN-107;Częstochowa;Pieczywo;Tort biszkoptowy;68.48;Przeterminowanie (nie udało się sprzedać)
2024-01-19;PLN-129;Nowy Sącz;Ryby i mrożonki;Krewetki świeże;96.73;Przeterminowanie (nie udało się sprzedać)
2024-01-19;PLN-103;Toruń;Ryby i mrożonki;Pstrąg;52.57;Przeterminowanie (nie udało się sprzedać)
2024-01-20;PLN-080;Łódź;Warzywa i owoce;Sałata lodowa;390.71;Przeterminowanie (nie udało się sprzedać)
2024-01-20;PLN-128;Nowy Sącz;Mięso i wędliny;Schab;59.94;Uszkodzenie mechaniczne
2024-01-20;PLN-090;Lublin;Ryby i mrożonki;Pstrąg;24.61;Przeterminowanie (nie udało się sprzedać)
2024-01-20;PLN-079;Łódź;Mięso i wędliny;Boczek;6.58;Przeterminowanie (nie udało się sprzedać)
2024-01-20;PLN-074;Łódź;Warzywa i owoce;Sałata lodowa;314.83;Przeterminowanie (nie udało się sprzedać)
2024-01-20;PLN-077;Łódź;Pieczywo;Chleb wiejski;50.59;Przeterminowanie (nie udało się sprzedać)
2024-01-20;PLN-102;Katowice;Nabiał i jaja;Śmietana;39.29;Błąd zatowarowania (nadmiar)
2024-01-20;PLN-095;Bydgoszcz;Mięso i wędliny;Boczek;5.0;Przeterminowanie (nie udało się sprzedać)
2024-01-21;PLN-004;Warszawa;Mięso i wędliny;Boczek;109.65;Łańcuch chłodniczy — błąd
2024-01-21;PLN-038;Kraków;Pieczywo;Bułki kajzerki;83.72;Przeterminowanie (nie udało się sprzedać)
2024-01-21;PLN-030;Kraków;Pieczywo;Tort biszkoptowy;198.88;Uszkodzenie mechaniczne
2024-01-21;PLN-125;Tarnów;Mięso i wędliny;Wędliny krojone;35.42;Uszkodzenie mechaniczne
2024-01-22;PLN-018;Warszawa;Mięso i wędliny;Wieprzowina łopatka;80.31;Przeterminowanie (nie udało się sprzedać)
2024-01-22;PLN-053;Wrocław;Nabiał i jaja;Mleko świeże;43.86;Przeterminowanie (nie udało się sprzedać)
2024-01-22;PLN-018;Warszawa;Mięso i wędliny;Mielone wieprzowo-wołowe;365.02;Przeterminowanie (nie udało się sprzedać)
2024-01-23;PLN-062;Poznań;Warzywa i owoce;Awokado;111.79;Przeterminowanie (nie udało się sprzedać)
2024-01-23;PLN-016;Warszawa;Warzywa i owoce;Truskawki;222.63;Przeterminowanie (nie udało się sprzedać)
2024-01-23;PLN-071;Poznań;Ryby i mrożonki;Pstrąg;246.02;Przeterminowanie (nie udało się sprzedać)
2024-01-23;PLN-094;Bydgoszcz;Warzywa i owoce;Awokado;100.58;Uszkodzenie mechaniczne
2024-01-23;PLN-124;Leszno;Warzywa i owoce;Borówki;15.17;Przeterminowanie (nie udało się sprzedać)
2024-01-23;PLN-090;Lublin;Ryby i mrożonki;Pstrąg;91.74;Łańcuch chłodniczy — błąd
2024-01-23;PLN-117;Płock;Warzywa i owoce;Truskawki;19.63;Błąd zatowarowania (nadmiar)
2024-01-24;PLN-010;Warszawa;Mięso i wędliny;Mielone wieprzowo-wołowe;5.0;Przeterminowanie (nie udało się sprzedać)
2024-01-24;PLN-044;Wrocław;Ryby i mrożonki;Łosoś świeży;103.5;Przeterminowanie (nie udało się sprzedać)
2024-01-24;PLN-062;Poznań;Pieczywo;Bułki kajzerki;428.4;Przeterminowanie (nie udało się sprzedać)
2024-01-24;PLN-074;Łódź;Mięso i wędliny;Kurczak filet;114.73;Przeterminowanie (nie udało się sprzedać)
2024-01-24;PLN-128;Nowy Sącz;Warzywa i owoce;Truskawki;26.62;Uszkodzenie mechaniczne
2024-01-25;PLN-007;Warszawa;Warzywa i owoce;Sałata lodowa;133.42;Przeterminowanie (nie udało się sprzedać)
2024-01-25;PLN-133;Legnica;Mięso i wędliny;Karkówka;63.42;Błąd zatowarowania (nadmiar)
2024-01-25;PLN-105;Toruń;Nabiał i jaja;Śmietana;85.23;Przeterminowanie (nie udało się sprzedać)
2024-01-25;PLN-008;Warszawa;Pieczywo;Bułki kajzerki;76.68;Przeterminowanie (nie udało się sprzedać)
2024-01-25;PLN-064;Poznań;Warzywa i owoce;Mango;47.49;Przeterminowanie (nie udało się sprzedać)
2024-01-25;PLN-010;Warszawa;Ryby i mrożonki;Krewetki świeże;148.69;Błąd zatowarowania (nadmiar)
2024-01-25;PLN-006;Warszawa;Nabiał i jaja;Ser pleśniowy;43.98;Łańcuch chłodniczy — błąd
2024-01-25;PLN-019;Warszawa;Nabiał i jaja;Mleko świeże;113.78;Przeterminowanie (nie udało się sprzedać)
2024-01-25;PLN-018;Warszawa;Nabiał i jaja;Mleko świeże;37.25;Łańcuch chłodniczy — błąd
2024-01-26;PLN-061;Poznań;Ryby i mrożonki;Łosoś świeży;280.58;Przeterminowanie (nie udało się sprzedać)
2024-01-26;PLN-114;Kalisz;Pieczywo;Bułki kajzerki;154.48;Przeterminowanie (nie udało się sprzedać)
2024-01-26;PLN-010;Warszawa;Pieczywo;Bagietka;14.68;Przeterminowanie (nie udało się sprzedać)
2024-01-27;PLN-066;Poznań;Nabiał i jaja;Mleko świeże;95.72;Przeterminowanie (nie udało się sprzedać)
2024-01-27;PLN-090;Lublin;Pieczywo;Bagietka;199.87;Przeterminowanie (nie udało się sprzedać)
2024-01-27;PLN-008;Warszawa;Warzywa i owoce;Sałata lodowa;71.57;Uszkodzenie mechaniczne
2024-01-28;PLN-132;Legnica;Mięso i wędliny;Wędliny krojone;13.9;Przeterminowanie (nie udało się sprzedać)
2024-01-28;PLN-090;Lublin;Ryby i mrożonki;Krewetki świeże;429.7;Błąd zatowarowania (nadmiar)
2024-01-28;PLN-068;Poznań;Nabiał i jaja;Jogurt naturalny;796.11;Przeterminowanie (nie udało się sprzedać)
2024-01-29;PLN-047;Wrocław;Mięso i wędliny;Kurczak filet;152.5;Przeterminowanie (nie udało się sprzedać)
2024-01-29;PLN-083;Łódź;Mięso i wędliny;Boczek;29.13;Uszkodzenie mechaniczne
2024-01-29;PLN-077;Łódź;Mięso i wędliny;Wędliny krojone;83.47;Przeterminowanie (nie udało się sprzedać)
2024-01-29;PLN-021;Warszawa;Warzywa i owoce;Sałata lodowa;132.85;Przeterminowanie (nie udało się sprzedać)
2024-01-29;PLN-083;Łódź;Ryby i mrożonki;Łosoś świeży;111.07;Uszkodzenie mechaniczne
2024-01-30;PLN-017;Warszawa;Warzywa i owoce;Pomidory koktajl;97.96;Błąd zatowarowania (nadmiar)
2024-01-30;PLN-003;Warszawa;Mięso i wędliny;Kurczak filet;116.3;Przeterminowanie (nie udało się sprzedać)
2024-01-30;PLN-029;Kraków;Pieczywo;Bułki kajzerki;180.82;Przeterminowanie (nie udało się sprzedać)
2024-01-30;PLN-025;Kraków;Warzywa i owoce;Pomidory koktajl;153.02;Błąd zatowarowania (nadmiar)
2024-01-30;PLN-028;Kraków;Mięso i wędliny;Mielone wieprzowo-wołowe;209.58;Uszkodzenie mechaniczne
2024-01-31;PLN-111;Kalisz;Warzywa i owoce;Sałata lodowa;249.29;Przeterminowanie (nie udało się sprzedać)
2024-01-31;PLN-059;Poznań;Ryby i mrożonki;Krewetki świeże;305.67;Uszkodzenie mechaniczne
2024-01-31;PLN-076;Łódź;Warzywa i owoce;Mango;38.36;Przeterminowanie (nie udało się sprzedać)
2024-01-31;PLN-045;Wrocław;Nabiał i jaja;Ser pleśniowy;12.21;Błąd zatowarowania (nadmiar)
2024-01-31;PLN-111;Kalisz;Nabiał i jaja;Ser pleśniowy;130.27;Błąd zatowarowania (nadmiar)
2024-01-31;PLN-084;Gdańsk;Mięso i wędliny;Wieprzowina łopatka;12.04;Przeterminowanie (nie udało się sprzedać)
2024-01-31;PLN-055;Poznań;Nabiał i jaja;Jogurt naturalny;15.76;Przeterminowanie (nie udało się sprzedać)
2024-01-31;PLN-012;Warszawa;Ryby i mrożonki;Łosoś świeży;140.19;Reklamacja jakościowa od klienta
2024-02-01;PLN-087;Gdańsk;Ryby i mrożonki;Łosoś świeży;79.41;Przeterminowanie (nie udało się sprzedać)
2024-02-01;PLN-118;Gniezno;Ryby i mrożonki;Łosoś świeży;199.79;Uszkodzenie mechaniczne
2024-02-01;PLN-037;Kraków;Pieczywo;Bułki kajzerki;181.19;Przeterminowanie (nie udało się sprzedać)
2024-02-01;PLN-039;Kraków;Mięso i wędliny;Boczek;26.54;Przeterminowanie (nie udało się sprzedać)
2024-02-01;PLN-030;Kraków;Warzywa i owoce;Truskawki;102.56;Przeterminowanie (nie udało się sprzedać)
2024-02-02;PLN-005;Warszawa;Pieczywo;Bagietka;23.36;Przeterminowanie (nie udało się sprzedać)
2024-02-02;PLN-100;Katowice;Warzywa i owoce;Truskawki;18.06;Przeterminowanie (nie udało się sprzedać)
2024-02-02;PLN-027;Kraków;Warzywa i owoce;Mango;458.04;Przeterminowanie (nie udało się sprzedać)
2024-02-02;PLN-105;Toruń;Pieczywo;Tort biszkoptowy;159.17;Uszkodzenie mechaniczne
2024-02-02;PLN-119;Gniezno;Warzywa i owoce;Truskawki;43.63;Błąd zatowarowania (nadmiar)
2024-02-02;PLN-063;Poznań;Ryby i mrożonki;Pstrąg;69.1;Błąd zatowarowania (nadmiar)
2024-02-02;PLN-059;Poznań;Nabiał i jaja;Śmietana;41.84;Przeterminowanie (nie udało się sprzedać)
2024-02-02;PLN-137;Jelenia Góra;Ryby i mrożonki;Pstrąg;234.15;Przeterminowanie (nie udało się sprzedać)
2024-02-03;PLN-082;Łódź;Warzywa i owoce;Mango;158.83;Przeterminowanie (nie udało się sprzedać)
2024-02-03;PLN-052;Wrocław;Ryby i mrożonki;Krewetki świeże;245.39;Przeterminowanie (nie udało się sprzedać)
2024-02-03;PLN-083;Łódź;Mięso i wędliny;Boczek;55.07;Uszkodzenie mechaniczne
2024-02-04;PLN-024;Warszawa;Nabiał i jaja;Ser pleśniowy;133.3;Przeterminowanie (nie udało się sprzedać)
2024-02-04;PLN-129;Nowy Sącz;Ryby i mrożonki;Pstrąg;367.57;Przeterminowanie (nie udało się sprzedać)
2024-02-04;PLN-138;Radom;Mięso i wędliny;Schab;28.07;Przeterminowanie (nie udało się sprzedać)
2024-02-04;PLN-067;Poznań;Nabiał i jaja;Jogurt naturalny;383.69;Przeterminowanie (nie udało się sprzedać)
2024-02-04;PLN-071;Poznań;Warzywa i owoce;Borówki;14.75;Przeterminowanie (nie udało się sprzedać)
2024-02-05;PLN-131;Legnica;Pieczywo;Tort biszkoptowy;26.91;Przeterminowanie (nie udało się sprzedać)
2024-02-05;PLN-123;Leszno;Warzywa i owoce;Truskawki;166.79;Przeterminowanie (nie udało się sprzedać)
2024-02-05;PLN-014;Warszawa;Mięso i wędliny;Boczek;24.41;Przeterminowanie (nie udało się sprzedać)
2024-02-05;PLN-118;Gniezno;Ryby i mrożonki;Pstrąg;5.02;Uszkodzenie mechaniczne
2024-02-05;PLN-118;Gniezno;Mięso i wędliny;Mielone wieprzowo-wołowe;72.61;Reklamacja jakościowa od klienta
2024-02-05;PLN-129;Nowy Sącz;Pieczywo;Bagietka;93.53;Przeterminowanie (nie udało się sprzedać)
2024-02-05;PLN-061;Poznań;Pieczywo;Chleb wiejski;89.98;Przeterminowanie (nie udało się sprzedać)
2024-02-06;PLN-031;Kraków;Pieczywo;Tort biszkoptowy;179.34;Łańcuch chłodniczy — błąd
2024-02-06;PLN-072;Poznań;Nabiał i jaja;Jogurt naturalny;174.81;Przeterminowanie (nie udało się sprzedać)
2024-02-06;PLN-134;Wałbrzych;Warzywa i owoce;Truskawki;5.02;Przeterminowanie (nie udało się sprzedać)
2024-02-06;PLN-058;Poznań;Nabiał i jaja;Ser pleśniowy;56.76;Przeterminowanie (nie udało się sprzedać)
2024-02-06;PLN-020;Warszawa;Mięso i wędliny;Wędliny krojone;179.57;Przeterminowanie (nie udało się sprzedać)
2024-02-06;PLN-064;Poznań;Ryby i mrożonki;Łosoś świeży;19.07;Przeterminowanie (nie udało się sprzedać)
2024-02-06;PLN-093;Lublin;Warzywa i owoce;Truskawki;32.57;Błąd zatowarowania (nadmiar)
2024-02-06;PLN-069;Poznań;Ryby i mrożonki;Łosoś świeży;202.91;Przeterminowanie (nie udało się sprzedać)
2024-02-07;PLN-094;Bydgoszcz;Warzywa i owoce;Borówki;88.43;Przeterminowanie (nie udało się sprzedać)
2024-02-07;PLN-058;Poznań;Ryby i mrożonki;Pstrąg;29.31;Przeterminowanie (nie udało się sprzedać)
2024-02-07;PLN-104;Toruń;Mięso i wędliny;Kurczak filet;72.18;Przeterminowanie (nie udało się sprzedać)
2024-02-07;PLN-014;Warszawa;Ryby i mrożonki;Krewetki świeże;242.26;Przeterminowanie (nie udało się sprzedać)
2024-02-07;PLN-117;Płock;Warzywa i owoce;Truskawki;49.2;Błąd zatowarowania (nadmiar)
2024-02-07;PLN-073;Łódź;Ryby i mrożonki;Krewetki świeże;456.58;Przeterminowanie (nie udało się sprzedać)
2024-02-07;PLN-013;Warszawa;Ryby i mrożonki;Pstrąg;65.66;Przeterminowanie (nie udało się sprzedać)
2024-02-07;PLN-105;Toruń;Ryby i mrożonki;Pstrąg;36.22;Łańcuch chłodniczy — błąd
2024-02-08;PLN-108;Częstochowa;Warzywa i owoce;Maliny;68.87;Przeterminowanie (nie udało się sprzedać)
2024-02-08;PLN-112;Kalisz;Pieczywo;Chleb wiejski;102.61;Błąd zatowarowania (nadmiar)
2024-02-08;PLN-044;Wrocław;Nabiał i jaja;Twaróg;58.34;Przeterminowanie (nie udało się sprzedać)
2024-02-08;PLN-078;Łódź;Ryby i mrożonki;Pstrąg;177.2;Łańcuch chłodniczy — błąd
2024-02-08;PLN-073;Łódź;Ryby i mrożonki;Pstrąg;146.2;Przeterminowanie (nie udało się sprzedać)
2024-02-08;PLN-006;Warszawa;Warzywa i owoce;Maliny;83.6;Przeterminowanie (nie udało się sprzedać)
2024-02-09;PLN-105;Toruń;Pieczywo;Bagietka;306.36;Przeterminowanie (nie udało się sprzedać)
2024-02-09;PLN-083;Łódź;Nabiał i jaja;Twaróg;96.68;Reklamacja jakościowa od klienta
2024-02-09;PLN-072;Poznań;Warzywa i owoce;Sałata lodowa;139.95;Przeterminowanie (nie udało się sprzedać)
2024-02-09;PLN-024;Warszawa;Nabiał i jaja;Śmietana;157.67;Uszkodzenie mechaniczne
2024-02-09;PLN-095;Bydgoszcz;Warzywa i owoce;Maliny;121.1;Przeterminowanie (nie udało się sprzedać)
2024-02-10;PLN-140;Radom;Mięso i wędliny;Schab;93.85;Przeterminowanie (nie udało się sprzedać)
2024-02-10;PLN-095;Bydgoszcz;Nabiał i jaja;Śmietana;131.59;Przeterminowanie (nie udało się sprzedać)
2024-02-10;PLN-046;Wrocław;Ryby i mrożonki;Pstrąg;417.46;Błąd zatowarowania (nadmiar)
2024-02-10;PLN-086;Gdańsk;Ryby i mrożonki;Pstrąg;127.7;Przeterminowanie (nie udało się sprzedać)
2024-02-10;PLN-012;Warszawa;Nabiał i jaja;Śmietana;151.7;Łańcuch chłodniczy — błąd
2024-02-10;PLN-085;Gdańsk;Ryby i mrożonki;Łosoś świeży;442.64;Przeterminowanie (nie udało się sprzedać)
2024-02-10;PLN-034;Kraków;Ryby i mrożonki;Łosoś świeży;5.62;Uszkodzenie mechaniczne
2024-02-11;PLN-081;Łódź;Nabiał i jaja;Śmietana;132.83;Przeterminowanie (nie udało się sprzedać)
2024-02-11;PLN-084;Gdańsk;Nabiał i jaja;Jogurt naturalny;28.63;Uszkodzenie mechaniczne
2024-02-11;PLN-096;Bydgoszcz;Nabiał i jaja;Twaróg;231.61;Błąd zatowarowania (nadmiar)
2024-02-11;PLN-031;Kraków;Mięso i wędliny;Kurczak filet;76.17;Przeterminowanie (nie udało się sprzedać)
2024-02-11;PLN-125;Tarnów;Ryby i mrożonki;Krewetki świeże;65.84;Przeterminowanie (nie udało się sprzedać)
2024-02-12;PLN-116;Płock;Nabiał i jaja;Jogurt naturalny;61.79;Błąd zatowarowania (nadmiar)
2024-02-12;PLN-087;Gdańsk;Nabiał i jaja;Śmietana;5.5;Przeterminowanie (nie udało się sprzedać)
2024-02-12;PLN-125;Tarnów;Ryby i mrożonki;Łosoś świeży;327.7;Przeterminowanie (nie udało się sprzedać)
2024-02-12;PLN-016;Warszawa;Pieczywo;Tort biszkoptowy;54.45;Błąd zatowarowania (nadmiar)
2024-02-12;PLN-063;Poznań;Mięso i wędliny;Mielone wieprzowo-wołowe;182.75;Przeterminowanie (nie udało się sprzedać)
2024-02-12;PLN-118;Gniezno;Nabiał i jaja;Mleko świeże;12.75;Przeterminowanie (nie udało się sprzedać)
2024-02-13;PLN-068;Poznań;Mięso i wędliny;Wieprzowina łopatka;221.66;Przeterminowanie (nie udało się sprzedać)
2024-02-13;PLN-108;Częstochowa;Pieczywo;Bagietka;6.08;Przeterminowanie (nie udało się sprzedać)
