Data;Miasto;Temp_min (°C);Temp_avg (°C);Temp_max (°C);Opady (mm);Śnieg (cm);Nasłonecznienie (h);Kategoria pogody
2024-06-12;Warszawa;15.8;17.7;22.9;6.5;0.0;3.9;Pochmurno z opadami
2024-06-13;Warszawa;21.3;25.9;31.2;0.0;0.0;7.3;Słonecznie
2024-06-14;Warszawa;16.1;19.9;26.1;0.0;0.0;10.3;Słonecznie
2024-06-15;Warszawa;15.4;17.4;19.1;1.8;0.0;3.2;Pochmurno z opadami
2024-06-16;Warszawa;23.5;25.8;32.3;2.4;0.0;2.1;Pochmurno z opadami
2024-06-17;Warszawa;16.3;20.1;26.8;0.0;0.0;7.3;Słonecznie
2024-06-18;Warszawa;16.3;20.8;24.6;0.3;0.0;4.4;Pochmurno z opadami
2024-06-19;Warszawa;13.3;16.8;20.0;0.0;0.0;11.2;Słonecznie
2024-06-20;Warszawa;16.1;20.4;25.0;0.0;0.0;8.5;Słonecznie
2024-06-21;Warszawa;23.7;27.3;31.1;2.4;0.0;3.3;Upał
2024-06-22;Warszawa;14.0;17.5;21.4;0.0;0.0;7.6;Słonecznie
2024-06-23;Warszawa;16.0;20.8;25.6;0.0;0.0;9.2;Słonecznie
2024-06-24;Warszawa;19.8;20.9;24.2;0.0;0.0;7.7;Słonecznie
2024-06-25;Warszawa;12.5;17.4;25.2;0.0;0.0;10.9;Słonecznie
2024-06-26;Warszawa;14.1;20.3;25.6;14.4;0.0;1.2;Deszcz
2024-06-27;Warszawa;16.0;19.4;23.7;0.4;0.0;0.3;Pochmurno z opadami
2024-06-28;Warszawa;15.7;20.0;25.3;0.0;0.0;8.0;Słonecznie
2024-06-29;Warszawa;16.6;22.4;29.1;0.0;0.0;4.4;Pochmurno
2024-06-30;Warszawa;8.7;14.1;16.6;1.6;0.0;1.5;Pochmurno z opadami
2024-07-01;Warszawa;21.2;24.7;31.3;0.0;0.0;9.8;Słonecznie
2024-07-02;Warszawa;17.6;21.3;25.6;0.0;0.0;8.0;Słonecznie
2024-07-03;Warszawa;21.1;23.9;29.1;0.8;0.0;0.0;Pochmurno z opadami
2024-07-04;Warszawa;16.6;21.5;26.7;2.1;0.0;0.0;Pochmurno z opadami
2024-07-05;Warszawa;14.3;18.2;25.3;2.3;0.0;0.0;Pochmurno z opadami
2024-07-06;Warszawa;16.2;17.8;25.4;0.0;0.0;7.5;Słonecznie
2024-07-07;Warszawa;14.3;19.8;23.7;0.0;0.0;12.4;Słonecznie
2024-07-08;Warszawa;20.4;23.6;32.5;0.0;0.0;6.5;Pochmurno
2024-07-09;Warszawa;19.4;23.9;31.2;0.0;0.0;11.7;Słonecznie
2024-07-10;Warszawa;19.0;21.9;27.7;2.5;0.0;0.4;Pochmurno z opadami
2024-07-11;Warszawa;17.1;21.2;26.6;0.3;0.0;0.9;Pochmurno z opadami
2024-07-12;Warszawa;15.6;18.1;25.3;3.8;0.0;0.4;Pochmurno z opadami
2024-07-13;Warszawa;17.3;20.7;26.2;5.1;0.0;0.3;Pochmurno z opadami
2024-07-14;Warszawa;21.9;24.7;27.2;0.8;0.0;5.6;Pochmurno z opadami
2024-07-15;Warszawa;20.1;22.7;28.9;0.0;0.0;10.9;Słonecznie
2024-07-16;Warszawa;16.3;20.3;28.0;0.0;0.0;12.3;Słonecznie
2024-07-17;Warszawa;19.2;24.1;27.5;1.4;0.0;2.9;Pochmurno z opadami
2024-07-18;Warszawa;18.0;19.1;27.8;0.0;0.0;5.4;Pochmurno
2024-07-19;Warszawa;17.8;21.4;26.9;0.0;0.0;10.0;Słonecznie
2024-07-20;Warszawa;21.3;24.4;29.1;4.9;0.0;2.7;Pochmurno z opadami
2024-07-21;Warszawa;21.6;25.4;32.0;0.0;0.0;9.8;Słonecznie
2024-07-22;Warszawa;14.3;19.1;24.7;9.7;0.0;2.1;Deszcz
2024-07-23;Warszawa;20.1;23.1;27.1;2.5;0.0;3.4;Pochmurno z opadami
2024-07-24;Warszawa;18.3;23.3;32.5;2.5;0.0;4.6;Pochmurno z opadami
2024-07-25;Warszawa;22.2;23.5;29.9;0.0;0.0;8.9;Słonecznie
2024-07-26;Warszawa;20.5;25.5;30.3;0.0;0.0;5.1;Pochmurno
2024-07-27;Warszawa;21.6;24.2;31.5;0.8;0.0;1.0;Pochmurno z opadami
2024-07-28;Warszawa;21.9;26.5;29.4;0.0;0.0;9.1;Upał
2024-07-29;Warszawa;22.1;25.2;29.9;5.0;0.0;2.0;Pochmurno z opadami
2024-07-30;Warszawa;15.4;17.7;21.9;0.0;0.0;6.0;Pochmurno
2024-07-31;Warszawa;18.6;19.4;25.5;3.1;0.0;2.8;Pochmurno z opadami
2024-08-01;Warszawa;16.3;17.7;19.9;0.0;0.0;11.0;Słonecznie
2024-08-02;Warszawa;12.2;20.1;24.0;0.0;0.0;8.4;Słonecznie
2024-08-03;Warszawa;18.9;25.9;34.6;0.0;0.0;10.9;Słonecznie
2024-08-04;Warszawa;19.5;24.4;30.8;0.0;0.0;6.7;Pochmurno
2024-08-05;Warszawa;15.1;19.1;23.8;5.4;0.0;0.9;Pochmurno z opadami
2024-08-06;Warszawa;19.0;24.0;24.0;0.0;0.0;9.9;Słonecznie
2024-08-07;Warszawa;17.4;20.1;23.6;0.0;0.0;7.7;Słonecznie
2024-08-08;Warszawa;20.6;22.5;27.9;0.0;0.0;9.4;Słonecznie
2024-08-09;Warszawa;23.9;26.3;30.7;1.8;0.0;2.6;Upał
2024-08-10;Warszawa;14.4;20.0;28.4;0.7;0.0;5.7;Pochmurno z opadami
2024-08-11;Warszawa;14.8;17.0;21.0;0.0;0.0;9.9;Słonecznie
2024-08-12;Warszawa;11.3;15.5;22.4;6.5;0.0;1.5;Pochmurno z opadami
2024-08-13;Warszawa;19.0;22.2;25.1;0.0;0.0;1.1;Pochmurno
2024-08-14;Warszawa;13.9;20.6;28.6;0.0;0.0;6.9;Pochmurno
2024-08-15;Warszawa;14.2;18.9;22.1;0.0;0.0;8.7;Słonecznie
2024-08-16;Warszawa;16.7;22.6;27.4;0.0;0.0;7.5;Słonecznie
2024-08-17;Warszawa;15.1;17.9;22.5;1.1;0.0;2.9;Pochmurno z opadami
2024-08-18;Warszawa;13.0;19.4;23.4;0.2;0.0;2.0;Pochmurno z opadami
2024-08-19;Warszawa;8.0;13.3;19.6;0.0;0.0;7.3;Słonecznie
2024-08-20;Warszawa;15.4;20.1;22.3;0.0;0.0;6.7;Pochmurno
2024-08-21;Warszawa;19.9;22.1;27.6;2.2;0.0;0.0;Pochmurno z opadami
2024-08-22;Warszawa;15.4;19.9;23.5;0.0;0.0;7.2;Słonecznie
2024-08-23;Warszawa;15.2;18.4;24.5;2.9;0.0;0.9;Pochmurno z opadami
2024-08-24;Warszawa;12.5;16.6;22.4;0.0;0.0;9.7;Słonecznie
2024-08-25;Warszawa;16.3;19.8;23.3;0.0;0.0;8.2;Słonecznie
2024-08-26;Warszawa;15.8;16.1;21.9;0.0;0.0;10.2;Słonecznie
2024-08-27;Warszawa;9.9;12.4;18.5;0.2;0.0;6.9;Pochmurno z opadami
2024-08-28;Warszawa;18.7;22.8;26.6;0.0;0.0;7.9;Słonecznie
2024-08-29;Warszawa;12.0;16.9;20.7;1.4;0.0;0.8;Pochmurno z opadami
2024-08-30;Warszawa;12.4;18.9;24.5;7.4;0.0;1.4;Pochmurno z opadami
2024-08-31;Warszawa;12.6;17.4;22.9;5.2;0.0;1.9;Pochmurno z opadami
2024-09-01;Warszawa;16.8;20.7;25.4;0.4;0.0;9.7;Słonecznie
2024-09-02;Warszawa;16.2;21.0;28.3;11.7;0.0;0.6;Deszcz
2024-09-03;Warszawa;16.4;18.2;24.8;0.0;0.0;6.4;Pochmurno
2024-09-04;Warszawa;17.3;23.0;27.1;0.0;0.0;11.1;Słonecznie
2024-09-05;Warszawa;12.4;17.7;23.6;0.0;0.0;6.0;Pochmurno
2024-09-06;Warszawa;10.0;15.6;19.9;0.0;0.0;7.0;Pochmurno
2024-09-07;Warszawa;9.9;14.5;23.2;0.3;0.0;0.0;Pochmurno z opadami
2024-09-08;Warszawa;13.2;17.5;23.5;0.0;0.0;8.0;Słonecznie
2024-09-09;Warszawa;13.6;17.5;24.6;0.6;0.0;5.4;Pochmurno z opadami
2024-09-10;Warszawa;10.6;16.1;23.2;4.4;0.0;8.2;Słonecznie
2024-09-11;Warszawa;9.3;14.2;19.7;0.0;0.0;8.7;Słonecznie
2024-09-12;Warszawa;16.8;21.3;25.7;0.0;0.0;3.3;Pochmurno
2024-09-13;Warszawa;9.6;15.6;20.4;6.2;0.0;0.0;Pochmurno z opadami
2024-09-14;Warszawa;9.8;13.0;19.5;0.4;0.0;3.3;Pochmurno z opadami
2024-09-15;Warszawa;10.7;14.1;17.9;4.8;0.0;0.0;Pochmurno z opadami
2024-09-16;Warszawa;12.6;18.8;25.6;0.0;0.0;7.0;Pochmurno
2024-09-17;Warszawa;12.4;16.4;19.7;0.0;0.0;8.8;Słonecznie
2024-09-18;Warszawa;5.9;11.7;15.9;0.0;0.0;8.5;Słonecznie
2024-09-19;Warszawa;12.0;15.6;21.7;1.1;0.0;0.9;Pochmurno z opadami
2024-09-20;Warszawa;12.9;18.4;20.0;0.0;0.0;8.3;Słonecznie
2024-09-21;Warszawa;15.2;17.3;23.6;0.0;0.0;9.6;Słonecznie
2024-09-22;Warszawa;5.5;10.8;16.3;0.0;0.0;9.6;Słonecznie
2024-09-23;Warszawa;7.0;11.2;13.2;0.0;0.0;2.5;Pochmurno
2024-09-24;Warszawa;8.5;14.1;19.6;0.0;0.0;7.8;Słonecznie
2024-09-25;Warszawa;10.4;13.0;17.6;0.0;0.0;9.0;Słonecznie
2024-09-26;Warszawa;6.9;12.1;17.4;0.0;0.0;8.8;Słonecznie
2024-09-27;Warszawa;12.3;15.6;21.7;0.4;0.0;1.1;Pochmurno z opadami
2024-09-28;Warszawa;7.1;13.9;18.5;0.0;0.0;7.2;Słonecznie
2024-09-29;Warszawa;9.0;12.6;19.0;0.0;0.0;4.1;Pochmurno
2024-09-30;Warszawa;7.0;9.4;16.1;0.0;0.0;12.1;Słonecznie
2024-10-01;Warszawa;8.1;11.9;17.0;0.2;0.0;4.8;Pochmurno z opadami
2024-10-02;Warszawa;7.2;12.9;18.4;6.2;0.0;3.5;Pochmurno z opadami
2024-10-03;Warszawa;6.7;12.2;12.4;0.0;0.0;9.6;Słonecznie
2024-10-04;Warszawa;8.4;9.6;15.5;7.8;0.0;5.3;Pochmurno z opadami
2024-10-05;Warszawa;14.8;17.1;24.3;0.0;0.0;12.2;Słonecznie
2024-10-06;Warszawa;3.0;8.1;11.4;1.7;0.0;2.1;Pochmurno z opadami
2024-10-07;Warszawa;13.1;16.8;22.1;0.0;0.0;9.3;Słonecznie
2024-10-08;Warszawa;4.1;10.6;14.5;1.0;0.0;2.5;Pochmurno z opadami
2024-10-09;Warszawa;8.4;9.0;13.7;0.8;0.0;0.0;Pochmurno z opadami
2024-10-10;Warszawa;0.7;5.8;11.0;0.0;0.0;4.5;Pochmurno
2024-10-11;Warszawa;6.1;8.9;14.5;2.5;0.0;5.2;Pochmurno z opadami
2024-10-12;Warszawa;6.9;10.6;14.2;0.0;0.0;7.5;Słonecznie
2024-10-13;Warszawa;2.4;6.8;12.0;7.3;0.0;0.0;Pochmurno z opadami
2024-10-14;Warszawa;10.5;14.4;18.1;0.0;0.0;4.4;Pochmurno
2024-10-15;Warszawa;2.2;3.8;9.3;0.0;0.0;9.2;Słonecznie
2024-10-16;Warszawa;-1.2;4.2;8.3;1.0;0.0;2.4;Pochmurno z opadami
2024-10-17;Warszawa;5.7;8.8;12.5;0.0;0.0;8.8;Słonecznie
2024-10-18;Warszawa;5.1;5.8;9.2;1.9;0.0;1.3;Pochmurno z opadami
2024-10-19;Warszawa;3.4;7.5;12.1;0.0;0.0;6.4;Pochmurno
2024-10-20;Warszawa;3.4;8.1;11.1;0.0;0.0;11.4;Słonecznie
2024-10-21;Warszawa;3.1;7.1;13.4;0.0;0.0;8.6;Słonecznie
2024-10-22;Warszawa;5.4;9.8;13.7;8.1;0.0;2.9;Deszcz
2024-10-23;Warszawa;4.2;7.1;9.0;0.0;0.0;6.5;Pochmurno
2024-10-24;Warszawa;10.9;14.2;15.6;0.0;0.0;9.8;Słonecznie
2024-10-25;Warszawa;2.9;8.8;14.7;2.0;0.0;4.0;Pochmurno z opadami
2024-10-26;Warszawa;-2.5;2.9;9.7;2.1;0.0;0.4;Pochmurno z opadami
2024-10-27;Warszawa;2.7;7.4;9.2;0.0;0.0;6.3;Pochmurno
2024-10-28;Warszawa;-5.2;0.6;8.4;4.1;0.0;3.9;Pochmurno z opadami
2024-10-29;Warszawa;-1.0;2.4;5.4;7.7;0.0;1.5;Pochmurno z opadami
2024-10-30;Warszawa;-0.8;2.5;7.6;0.0;0.0;7.6;Słonecznie
2024-10-31;Warszawa;-4.8;1.1;5.8;0.0;0.0;6.3;Pochmurno
